system:index,LST,NDBI,NDVI,.geo
178,28.485101120000024,-0.01695583596214511,0.28789013732833957,"{""type"":""Point"",""coordinates"":[77.43020033178324,23.273493973236185]}"
179,29.460945830000014,-0.21879300176921565,0.5581804473485801,"{""type"":""Point"",""coordinates"":[77.36025202539906,23.328289826512343]}"
180,30.57692936000001,0.008366501502721144,0.5500253936008126,"{""type"":""Point"",""coordinates"":[77.39213559157389,23.28352648034774]}"
181,32.86016672000005,0.05611405593127399,0.19288519288519287,"{""type"":""Point"",""coordinates"":[77.40383148478547,23.2782036345457]}"
182,30.195820130000016,-0.022560078469838155,0.3844621513944223,"{""type"":""Point"",""coordinates"":[77.37537076643616,23.325077922753497]}"
183,30.946075520000022,0.0920999866328031,0.15805626598465472,"{""type"":""Point"",""coordinates"":[77.42079624770149,23.199269829224317]}"
184,33.78303212000003,0.0955585464333782,0.24990035870864885,"{""type"":""Point"",""coordinates"":[77.46587092324242,23.2675710765472]}"
185,27.398170760000028,-0.08595278466153645,0.5736155736155736,"{""type"":""Point"",""coordinates"":[77.42535980638755,23.19765740534541]}"
186,32.743954040000006,0.0799651061355045,0.09632709632709632,"{""type"":""Point"",""coordinates"":[77.40689349412989,23.27102157528488]}"
187,31.06741523000005,-0.06173867777199375,0.46480896294168345,"{""type"":""Point"",""coordinates"":[77.35625466206606,23.188901398198002]}"
188,27.58616186000006,-0.03922404604561927,0.4291996481970097,"{""type"":""Point"",""coordinates"":[77.47897284014066,23.203863842410346]}"
189,32.19877985000005,-0.03932832523199293,0.25876371420925875,"{""type"":""Point"",""coordinates"":[77.41244470128464,23.34266664963184]}"
190,29.202885320000007,-0.12490073737946682,0.4543854502786741,"{""type"":""Point"",""coordinates"":[77.49900194643658,23.2622097996197]}"
191,29.896743380000032,0.08533494266747134,0.18129384255650818,"{""type"":""Point"",""coordinates"":[77.43394117783843,23.18655414580555]}"
192,28.756833710000024,0.030617051342439944,0.27304218730669305,"{""type"":""Point"",""coordinates"":[77.50330601773902,23.256946939707028]}"
193,30.030046159999984,-0.13958587088915955,0.4197268588770865,"{""type"":""Point"",""coordinates"":[77.38892913254276,23.211397704657305]}"
194,31.234898209999983,0.07111378205128205,0.13624111737319283,"{""type"":""Point"",""coordinates"":[77.43212594487314,23.26447765745915]}"
195,29.736096439999983,-0.17760571768910066,0.5575862612257759,"{""type"":""Point"",""coordinates"":[77.4107033063452,23.233147583827794]}"
196,30.19240210999999,-0.18233618233618235,0.5768566493955095,"{""type"":""Point"",""coordinates"":[77.44085728610222,23.19811894746783]}"
197,30.27956161999998,-0.013606207129202744,0.23530217897766206,"{""type"":""Point"",""coordinates"":[77.48866349308845,23.21956857489013]}"
198,31.655314670000053,-0.04171556598741065,0.3300640239749353,"{""type"":""Point"",""coordinates"":[77.35572070117557,23.284411269635346]}"
199,32.66533958000002,0.08200020122748768,0.10126735063367531,"{""type"":""Point"",""coordinates"":[77.42251625849897,23.245888078985153]}"
200,30.50515094000002,0.0836629145117128,0.4138632451885464,"{""type"":""Point"",""coordinates"":[77.36845403494057,23.2335316432882]}"
201,32.074022119999995,0.0024267313795034535,0.3244114002478315,"{""type"":""Point"",""coordinates"":[77.41254967548835,23.32420804669584]}"
202,27.28195807999998,-0.06998108619292083,0.4337436640115858,"{""type"":""Point"",""coordinates"":[77.42700423655663,23.333803546040144]}"
203,32.554253930000016,0.18254716981132074,0.340553084509766,"{""type"":""Point"",""coordinates"":[77.37665630230083,23.184743484912868]}"
204,30.508568960000048,0.019837691614066726,0.258465991316932,"{""type"":""Point"",""coordinates"":[77.45943663399834,23.26784945776893]}"
205,27.473367199999984,0.001860374033095075,0.24241316270566726,"{""type"":""Point"",""coordinates"":[77.44273760782815,23.279955948401707]}"
206,23.802413720000004,-0.11342894393741851,-0.1851145038167939,"{""type"":""Point"",""coordinates"":[77.38549768328743,23.200745598031975]}"
207,29.693371189999993,-0.09211737041202331,0.37903434030467337,"{""type"":""Point"",""coordinates"":[77.48454644495963,23.269798671437336]}"
208,28.454338940000014,-0.08833599634786578,0.5518307567127746,"{""type"":""Point"",""coordinates"":[77.50569256395902,23.268904981970117]}"
