system:index,NDBI,NDVI,.geo
89,-0.14350282485875707,0.44819690898683456,"{""type"":""Point"",""coordinates"":[77.46098112429853,23.3115763777506]}"
90,0.08306384551418276,0.10022172949002217,"{""type"":""Point"",""coordinates"":[77.45003576556257,23.254945306457255]}"
91,-0.06651685393258427,0.4347037484885127,"{""type"":""Point"",""coordinates"":[77.43647449549115,23.33940285208139]}"
92,-0.032407407407407406,-0.4520884520884521,"{""type"":""Point"",""coordinates"":[77.32501940361225,23.234391323704262]}"
93,-0.42896935933147634,0.34513274336283184,"{""type"":""Point"",""coordinates"":[77.3201324432498,23.257641143155812]}"
94,-0.4515625,0.015300546448087432,"{""type"":""Point"",""coordinates"":[77.49497204715374,23.265476846842176]}"
95,0.0018739352640545145,0.37810184640715044,"{""type"":""Point"",""coordinates"":[77.4709553222881,23.25690178014641]}"
96,-0.08996198789243981,0.5761400651465798,"{""type"":""Point"",""coordinates"":[77.42400673615646,23.215468289778826]}"
97,0.08193435229265848,0.1861443832955649,"{""type"":""Point"",""coordinates"":[77.48758838936071,23.241353334221873]}"
98,-0.03378103378103378,0.258048538880634,"{""type"":""Point"",""coordinates"":[77.43359866309639,23.301530257524604]}"
99,-0.01142263759086189,0.43084994753410283,"{""type"":""Point"",""coordinates"":[77.37435617936214,23.202911508519502]}"
100,-0.09130434782608696,0.48564664101805266,"{""type"":""Point"",""coordinates"":[77.38303902441271,23.345471067885807]}"
101,-0.18937157317587516,0.6165090283748925,"{""type"":""Point"",""coordinates"":[77.40074493221103,23.318081956204466]}"
102,0.09777717168962226,0.1259360108917631,"{""type"":""Point"",""coordinates"":[77.49679976834557,23.22962411732935]}"
103,-0.1609935602575897,0.502828222685323,"{""type"":""Point"",""coordinates"":[77.4274510414134,23.345880316816782]}"
104,-0.020561830292499274,0.329811320754717,"{""type"":""Point"",""coordinates"":[77.44079592691998,23.1999219203403]}"
105,-0.25796935959653633,0.6911858769348855,"{""type"":""Point"",""coordinates"":[77.36163010364733,23.21522334453524]}"
106,0.13552361396303902,0.16073890267438654,"{""type"":""Point"",""coordinates"":[77.36747426769982,23.309171249329925]}"
107,-0.04307956824911644,0.20876688067301305,"{""type"":""Point"",""coordinates"":[77.48871030150484,23.23524968641868]}"
108,0.02153484729835552,0.38028169014084506,"{""type"":""Point"",""coordinates"":[77.48123392237655,23.286885676916903]}"
109,-0.08067579726082175,0.4747612551159618,"{""type"":""Point"",""coordinates"":[77.33937196536667,23.2318083284432]}"
110,-0.1440677966101695,-0.22783603431839847,"{""type"":""Point"",""coordinates"":[77.38820571402961,23.199409985976363]}"
111,0.09409646546005875,0.2716147911678638,"{""type"":""Point"",""coordinates"":[77.44472029879707,23.27713870293679]}"
112,-0.013992537313432836,0.3781299524564184,"{""type"":""Point"",""coordinates"":[77.47345092111492,23.320767083869427]}"
